channel_id,channel_name,icon,banner,subscriptions,videos,views,date_creation,channel_location,extraction_date,silver_play_button,silver_gold_button,diamond_play_button
UCrcBZDofBltcgGxphNia2tw,ProbIems,https://yt3.googleusercontent.com/yV0e4Bz9ikJo3cnfNe7C7r6RovC_ejAnJZe9u84ftPg83lNfMni8BlEowxnygCsKy6zJlKXCSA=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/gUfhtrkOuCQRGdSf-_M4izTCJh9UTAhkgOti3NcZi7lwtl3LRRHyQN2gHOXd1bJGdWYQRoKS-Bs=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",8720000,3477,5219878800,2021-08-30,Brasil,2024-09-02,true,true,false
UCmhx7Q1WRB85e7bF-MHcehA,Ligonz,https://yt3.googleusercontent.com/0hAjo1t328-1iKzISZiVJrvbFW7QTolS_sSGt7QCdMPXrw0i_9_MVzgMTE8E4GEPeAouhuXkC50=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/csri9EK16-D5hb40GCk7NkAfC7oryt99xdOWY4yoIcnGMAt8t1VWCAvZyweaa0nta7FxZgKr=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",2200000,421,175255217,2017-08-10,Brasil,2024-09-02,true,true,false
UCMUcTceXYCuCyGTNMNvc1qQ,A Praça É Nossa,https://yt3.googleusercontent.com/DRwHso3Guzgu1CsxuIhSEGzrlfllLWbhMllduEJJK2vPb_qN7_PhtOsHzjlfuYjuc-z9EZRy6Q=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/FVGvCx4kWOKNRRqRBrLIdOsAtlLIp43Eul0b1S2pwk6r9XxJfWdt_Cl-_6DQWE5hOHF3uKA35w=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",4670000,4134,2695988177,2014-04-8,Brasil,2024-09-02,true,true,false
UC4t2mdI8uAiJDJSRjiWJT1Q,Gabriela Rocha,https://yt3.googleusercontent.com/HO4DK3DMKOSiJCBmKE48TcoMPdxoYFSOf4VsErfo1ap_QDNT2M7IQrDalUXOrrcH4HB-llGnPQ=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/_hzOWUaojPwRg5y9GzG63JZfvNJUwMfwhzK8NuvUW0weds-5_lFRcLAc0eAPp14XtmQjmWBuew=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",9340000,261,3950197588,2011-06-3,Brasil,2024-09-02,true,true,false
UCgCKagVhzGnZcuP9bSMgMCg,ge,https://yt3.googleusercontent.com/XHCE1FH6F1fBdRQjaf4Q08y4_GpdyiLU1vEFG20H2rs4sdRP00O-c6M8EBTJbwn01cHQ1lFR=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/cR07eb6krYN_rBvo0bcUIr8QUe4p0OONes4J3W9PPuIeMbSwp9Ltipdmf06IcTInCYl9te1e=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",5150000,16865,2972856424,2020-08-4,Brasil,2024-09-02,true,true,false
UCw5-xj3AKqEizC7MvHaIPqA,ESPN Brasil,https://yt3.googleusercontent.com/ytc/AIdro_ma030CksbiH0ueLUATKsGGEmZkmIdjFcS_uiI49Mton8Jz=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/q0wDoK0X15UGV021fVJI5YCaNVsP0-rn7tNBHIgOv6cgleR2VNlCM3-iUiuV-Ogq2czjBSeNtc4=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",6340000,37164,4174922187,2012-01-4,Brasil,2024-09-02,true,true,false
UCghoGp6lvf3Lfu9cYdfIqtw,chip,https://yt3.googleusercontent.com/MQHXuZj72K5xKcmlk60PHZmZs74fy9F7vHG-Ta8XAwmJYhUFs6zUSUqO7hMASsgYsu9GphNy-is=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/Ihq2ii-vVltceImC2CUD_rsyCgEKSPobAt6MMbkNRc9YsTeL3aMGO8xCpwWqdvo04_-W5GPb=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",785000,251,57605621,2016-04-21,Brasil,2024-09-02,true,false,false
UCq6FbZEjOg3YDUuHcH6E4uA,Nubia Viana,https://yt3.googleusercontent.com/K7-O-Wnns6BAjKzQsnG-4SGfNxin-4XdysNWzAGAmMZPNdTnDe9aFte3ADYHTOlQ14i1qpvFhA=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/rVy7ouZfKaLw-P8jKik7Ojiyefs8zeuiZXPv4LJvbDbx6nqGJ1HEABuHFcUxiMxN-XOAH1x3rA=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",366000,1224,130072160,2016-11-24,Brasil,2024-09-02,true,false,false
UC9NXpIA01HVRhYgcEbs80Nw,Sony Pictures Brasil,https://yt3.googleusercontent.com/aBHwyunsTiSFMpPYoeIH3zSHntdPx8__EeTKqYy6gEE3fpaMqVszEsDx8FKfAo0EzgTON3ePhhM=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/GbTO0YnNw4t2zpC1-8QRLRrELXnpUT4dCtVzRIag1DXeBd0m_43YnRr7VItfGExzInS4Gut4uA=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",972000,1761,887221646,2006-12-1,Brasil,2024-09-02,true,false,false
UCi0dHgtTQ4CNqq_c-8TEYzQ,Liniker,https://yt3.googleusercontent.com/nv827RzfyuQ-We4A13lO3rH1RN4fN26egvo2QZ4BfWF9RwOEvxLa9bG1L1D9gFfuUWHkFW56fA=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/ajG4NqvW4pS6UOdQtvjpfvkBuIHuqRu-ChdKNOX-8BoluNeN-nMezh0Dhh7A9TjDF6r-kVBK=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",165000,143,42297719,2020-10-5,Brasil,2024-09-02,true,false,false
UCPl_3zCQnCB4Iv79UD_i-5A,BETO GAMER,https://yt3.googleusercontent.com/Qd6oDGpiGxRnziLRtM__0WEuvuVE2RthRAIPAANQg2iJnz-zUd7-glAp0EljvewNlVsgUTmc=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/Y_BaHA2NQOtOD7fZmGFScl_skInkdKsywEH7afa7t5ca6dHwFlbQ-6bbMgfBKMkJJOh6BT_r99o=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",10600000,4133,3876741413,2015-10-30,Brasil,2024-09-02,true,true,true
UC1erzuuEMuxBcKHEBTigaCg,ALLISON ZO DETONA FUNK,https://yt3.googleusercontent.com/ytc/AIdro_lW1929VD8bs1JFyO2_HQa0xikse-AVjeCfJ_e85VHWf3E=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/e3OIEgpvedHjXls4er772LEG6cRMHRvQr7VlKFtfgTiUuVWW8tWdIoZ0VWEtODzvxNKUc5iPoRE=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",3190000,3079,1064330443,2013-05-3,Brasil,2024-09-02,true,true,false
UCBrMq7wkdPWb3PxR-GUR61A,Hay Day,https://yt3.googleusercontent.com/3uuvLxttvZAZ7qZSWSa8jKQB1HZa7MKZnHgQTLAtvatZfAw_jKoWs52Uwi684l26qOEldDEE=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/8hhWp5mVupLWchY_rw4rKWi1IaAplEWOnds0yM8kF-DxC7saSG2Ww6OKpYHNdTWBWpZpqnXBSQ=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",2140000,188,310186343,2013-01-31,Finlândia,2024-09-02,true,true,false
UCJIl6Ahgkfwg1DRYcg-kY3g,Mendrake,https://yt3.googleusercontent.com/z4bbeeE2xi_tZzOIRjWPzVQsP4VGGy6DUYhPidz9SJBqa1dViGW9Z_xInr2IPY5kMFP5alH3jw=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/J2nrq0Uw5m2NpwP4JThP0qIMEH9u7delgNbw5DE3misiDJB0ySstW79O_fKIp86gnFQmPSa_Yg=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",1740000,278,252042685,2021-07-30,Brasil,2024-09-02,true,true,false
UCYLWk7x2Jg9CRD71MnPRTOg,MC IG,https://yt3.googleusercontent.com/fmsq8WdQO6Czql-YoHAhsvSuySu809XtW3wlZT3S__Tj0G09SwQD1Oj8fEXGY7ReXFSLVZuT1w=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/Mk1-8J_EDTYzSYNeHAZ6NdGsA2EFAZ7cSOx_avpxgfLciit6PqJ2aodVhSttp5s2OhRezyMj=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",1010000,114,879599208,2019-05-7,Brasil,2024-09-02,true,true,false
UCo-SyplR7M1ZC1w0YhwMa8w,Goularte,https://yt3.googleusercontent.com/aaakNQLtIdGm1s3Ll34_rmf2l3kez208ITn0x4ZJQtKmoE_idiL1NjH6QfcMoV1AVwYE4IdrZek=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/gXgZ-h02Nwk0_M4QplrxxHzEzmGXw3VRWLV7KWhAdJr_8z-eZ0Ov3w-shPhTe65mld1zZnly=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",5430000,1054,980911772,2012-08-24,Brasil,2024-09-02,true,true,false
UCtMW9MSme3cw-kqhKenF13A,Virlance,https://yt3.googleusercontent.com/beAp7COHd6OAIUh4exIlEiWDnhYA4rfqirgrOdCnFPNpySLUIGt4rY0sIA4XwP5JRkAxvsibnw=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/JMznXDNY9Ca6YKsoH8CjwSYzLuCJBx-kTZ0JJbOfpGnOV63XagXx-2KaMMYqtMWL6B0-W4VVGsI=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",2610000,220,551055967,2014-11-16,Dinamarca,2024-09-02,true,true,false
UCop6604O_QwmEum6e0Riz2w,Futcrunch,https://yt3.googleusercontent.com/4hwCDB8aFrdglQ1FVZjo60K_0k9d-Y-vGACTf1K9d54ttJVoBm-I3czdeJF3VbTyCyB2S9UXEQ=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/mBIkukIrYh7he-SmRsf4KYwC6TSBa-iTlCsFD-3jXL-sbPQXScOXzmyaMm8k5Njmcib9dO4QqQw=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",4930000,714,1883468988,2018-12-28,Reino Unido,2024-09-02,true,true,false
UC_XGgRFoktKUXZVD1_tp7EA,Gui Nobre,https://yt3.googleusercontent.com/DmHBDIHEuqeae4a817Pc-0wUUYe_OA1tljlwiM0EuzyE6jQe89xbe-fZ4pw5TJOM_LNLscRCRg=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/Lq0nsHK5SMVhh8FZQiUrBE3RGPyDb1Far5h35jb-bAxXhItnq3evJQbN5PQfAmrOw8wDQefPnw=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",5220000,2535,1122274982,2016-02-13,Brasil,2024-09-02,true,true,false
UCD9cMUkHNW380sh3_YedolA,MuuhPro,https://yt3.googleusercontent.com/sVk8sroxNhqRz1mHp-T5x77fF8hmP1tFsUc6RpAXnLDYCt9G_F1j7d9b8RRxghcJToJqaE-y=s900-c-k-c0x00ffffff-no-rj,"https://yt3.googleusercontent.com/Ij40pwxrsAgME9_VQQRDtS79i5Cc4ookGJDv_cLsXkqpjxdZ6EH8YKOaJRlX27Q7tIH1IAR2lw=w1060-fcrop64=1,00005a57ffffa5a8-k-c0xffffffff-no-nd-rj",4090000,2729,924975840,2012-01-4,Brasil,2024-09-02,true,true,false
