title,channel_id,channel_link,likes,views,comments,duration,date,thumb,family_friend,extraction_date
Race Highlights | 2024 Italian Grand Prix,UCB_qr75-ydFVKSF9Dmo6izg,http://www.youtube.com/channel/UCB_qr75-ydFVKSF9Dmo6izg,125347,5372838,5200,00:08:14,2024-09-01T08:44:10-07:00,http://img.youtube.com/vi/sTmpbEYUba0/maxresdefault.jpg,1,2024-09-04
Sabrina Carpenter - Taste (Official Video),UC4mYKePIas5YgGfYZ2J2OxQ,http://www.youtube.com/channel/UC4mYKePIas5YgGfYZ2J2OxQ,2121271,48428080,64000,00:03:18,2024-08-23T07:00:08-07:00,http://img.youtube.com/vi/KEG7b851Ric/maxresdefault.jpg,1,2024-09-04
13 YOUTUBERS vs DESASTRES NATURAIS,UCPIQI08BxL0i9nES_uKajAA,http://www.youtube.com/channel/UCPIQI08BxL0i9nES_uKajAA,14719,293756,537,00:17:52,2024-09-02T07:00:07-07:00,http://img.youtube.com/vi/4V9xCVD7RWs/maxresdefault.jpg,1,2024-09-04
24 HORAS VIVENDO NA IDADE DAS PEDRAS *Deu confusão,UC63iwP6BtIjxB6xn1GKR6Lw,http://www.youtube.com/channel/UC63iwP6BtIjxB6xn1GKR6Lw,37083,1409871,2300,00:11:36,2024-09-03T08:00:50-07:00,http://img.youtube.com/vi/jr7oyFlcxKg/maxresdefault.jpg,1,2024-09-04
Patricia Abravanel fala pela primeira vez após partida de Silvio Santos,UC-5npwFvOH9Mp_a15T0VT9g,http://www.youtube.com/channel/UC-5npwFvOH9Mp_a15T0VT9g,37654,939618,1800,00:07:33,2024-09-01T15:00:04-07:00,http://img.youtube.com/vi/8kji5g-qWoU/maxresdefault.jpg,1,2024-09-04
"Pega Nóis, Não Pega Não - MC Tuto, MC Cebezinho e MC Kako (Áudio Oficial) DJ Oreia",UC1erzuuEMuxBcKHEBTigaCg,http://www.youtube.com/channel/UC1erzuuEMuxBcKHEBTigaCg,50699,3393959,846,00:04:57,2024-08-19T17:04:20-07:00,http://img.youtube.com/vi/pNEj9LTu6QE/maxresdefault.jpg,1,2024-09-04
skibidi toilet 77 (part 2),UCsSsgPaZ2GSmO6il8Cb5iGA,http://www.youtube.com/channel/UCsSsgPaZ2GSmO6il8Cb5iGA,750184,14416916,56000,00:03:15,2024-08-31T10:00:49-07:00,http://img.youtube.com/vi/x1HMTr0mp8U/maxresdefault.jpg,1,2024-09-04
"Jorge &amp; Mateus, Henrique &amp; Juliano - Xonei (Clipe Oficial)",UCL64gn1KZ1C-u87BGQv3b6w,http://www.youtube.com/channel/UCL64gn1KZ1C-u87BGQv3b6w,108947,9021743,6200,00:02:38,2024-08-16T07:00:05-07:00,http://img.youtube.com/vi/a3FDFSMz5JQ/maxresdefault.jpg,1,2024-09-04
"NOIS JÁ TÁ RICO - MC IG, MC Ryan SP e Orochi (DJ Glenner, DJ Negret) Bad Boys",UCNUQK9mQoqi4yNXw2_Rj6SA,http://www.youtube.com/channel/UCNUQK9mQoqi4yNXw2_Rj6SA,57172,2500080,2300,00:04:43,2024-08-21T17:00:07-07:00,http://img.youtube.com/vi/_-BSqyx2XZc/maxresdefault.jpg,1,2024-09-04
Nattan e Melody - Eu Vou Sentar (DVD Estilo Nattanzinho),UC3EPFEI1TdOtPdDPS1nRt2w,http://www.youtube.com/channel/UC3EPFEI1TdOtPdDPS1nRt2w,31516,4284040,810,00:02:29,2024-08-23T06:59:17-07:00,http://img.youtube.com/vi/aKwDqCGhR58/maxresdefault.jpg,1,2024-09-04
MC Luuky - Nem Ligo pro Amor 💔 (Clipe Oficial) Oldilla,UCG90vRbG7aMXu0nD0DQ2wFA,http://www.youtube.com/channel/UCG90vRbG7aMXu0nD0DQ2wFA,30865,929488,8600,00:02:54,2024-08-30T08:00:07-07:00,http://img.youtube.com/vi/aRu1y9A4orU/maxresdefault.jpg,1,2024-09-04
ADIVINHE SUA NAMORADA DE OLHOS VENDADOS *Deu ruim !,UC63iwP6BtIjxB6xn1GKR6Lw,http://www.youtube.com/channel/UC63iwP6BtIjxB6xn1GKR6Lw,53440,2146784,3400,00:15:17,2024-09-02T08:00:10-07:00,http://img.youtube.com/vi/EoSnASNNB2w/maxresdefault.jpg,1,2024-09-04
